,Champion_Name,Champion_IDs
0,Aatrox,266
1,Ahri,103
2,Akali,84
3,Akshan,166
4,Alistar,12
5,Amumu,32
6,Anivia,34
7,Annie,1
8,Aphelios,523
9,Ashe,22
10,Aurelion Sol,136
11,Azir,268
12,Bard,432
13,Bel'Veth,200
14,Blitzcrank,53
15,Brand,63
16,Braum,201
17,Briar,233
18,Caitlyn,51
19,Camille,164
20,Cassiopeia,69
21,Cho'Gath,31
22,Corki,42
23,Darius,122
24,Diana,131
25,Draven,119
26,Dr. Mundo,36
27,Ekko,245
28,Elise,60
29,Evelynn,28
30,Ezreal,81
31,Fiddlesticks,9
32,Fiora,114
33,Fizz,105
34,Galio,3
35,Gangplank,41
36,Garen,86
37,Gnar,150
38,Gragas,79
39,Graves,104
40,Gwen,887
41,Hecarim,120
42,Heimerdinger,74
43,Hwei,910
44,Illaoi,420
45,Irelia,39
46,Ivern,427
47,Janna,40
48,Jarvan IV,59
49,Jax,24
50,Jayce,126
51,Jhin,202
52,Jinx,222
53,Kai'Sa,145
54,Kalista,429
55,Karma,43
56,Karthus,30
57,Kassadin,38
58,Katarina,55
59,Kayle,10
60,Kayn,141
61,Kennen,85
62,Kha'Zix,121
63,Kindred,203
64,Kled,240
65,Kog'Maw,96
66,K'Sante,897
67,LeBlanc,7
68,Lee Sin,64
69,Leona,89
70,Lillia,876
71,Lissandra,127
72,Lucian,236
73,Lulu,117
74,Lux,99
75,Malphite,54
76,Malzahar,90
77,Maokai,57
78,Master Yi,11
79,Milio,902
80,Miss Fortune,21
81,Wukong,62
82,Mordekaiser,82
83,Morgana,25
84,Naafiri,950
85,Nami,267
86,Nasus,75
87,Nautilus,111
88,Neeko,518
89,Nidalee,76
90,Nilah,895
91,Nocturne,56
92,Nunu & Willump,20
93,Olaf,2
94,Orianna,61
95,Ornn,516
96,Pantheon,80
97,Poppy,78
98,Pyke,555
99,Qiyana,246
100,Quinn,133
101,Rakan,497
102,Rammus,33
103,Rek'Sai,421
104,Rell,526
105,Renata Glasc,888
106,Renekton,58
107,Rengar,107
108,Riven,92
109,Rumble,68
110,Ryze,13
111,Samira,360
112,Sejuani,113
113,Senna,235
114,Seraphine,147
115,Sett,875
116,Shaco,35
117,Shen,98
118,Shyvana,102
119,Singed,27
120,Sion,14
121,Sivir,15
122,Skarner,72
123,Smolder,901
124,Sona,37
125,Soraka,16
126,Swain,50
127,Sylas,517
128,Syndra,134
129,Tahm Kench,223
130,Taliyah,163
131,Talon,91
132,Taric,44
133,Teemo,17
134,Thresh,412
135,Tristana,18
136,Trundle,48
137,Tryndamere,23
138,Twisted Fate,4
139,Twitch,29
140,Udyr,77
141,Urgot,6
142,Varus,110
143,Vayne,67
144,Veigar,45
145,Vel'Koz,161
146,Vex,711
147,Vi,254
148,Viego,234
149,Viktor,112
150,Vladimir,8
151,Volibear,106
152,Warwick,19
153,Xayah,498
154,Xerath,101
155,Xin Zhao,5
156,Yasuo,157
157,Yone,777
158,Yorick,83
159,Yuumi,350
160,Zac,154
161,Zed,238
162,Zeri,221
163,Ziggs,115
164,Zilean,26
165,Zoe,142
166,Zyra,143
